0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:13:16 +0800] "GET //Book2/tu/t6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:17:57 +0800] "GET /Book2/bootstrap/css/bootstrap.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:07 +0800] "GET /Book2/changeMm.jsp HTTP/1.1" 200 5989
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:07 +0800] "GET /Book2/tu/ta3.png HTTP/1.1" 200 885801
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:11 +0800] "GET /Book2/index.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:11 +0800] "GET /Book2/top.jsp HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:11 +0800] "GET /Book2/left.jsp HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:11 +0800] "GET /Book2/new.jsp HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:14 +0800] "GET /Book2/adduser.jsp HTTP/1.1" 200 6696
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:14 +0800] "GET /Book2/tu/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:15 +0800] "GET /Book2/UserServlet?action=showPasgeUser HTTP/1.1" 200 11801
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:15 +0800] "GET /img/2/f/4bd86a2a-56e8-4d97-abee-3cf7cd7cac63_timg1.gif HTTP/1.1" 200 50228
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:15 +0800] "GET /img/8/4/85f0ae30-7b47-4158-b5ee-8bb48504f569_timg.jpg HTTP/1.1" 200 90046
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:15 +0800] "GET /img/c/a/9936cb2d-7a6e-4a73-a0fb-5fb3170c04e0_u0.jpg HTTP/1.1" 200 28205
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:15 +0800] "GET /img/8/4/ffbe8930-020d-46d1-bcdc-cc53b41d32f6_timg.gif HTTP/1.1" 200 111345
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:15 +0800] "GET /img/5/6/5336fc00-2423-4e0c-92ad-50dd7951837b_16.jpg HTTP/1.1" 200 122423
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:16 +0800] "GET /Book2/adduser.jsp HTTP/1.1" 200 6696
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:16 +0800] "GET /Book2/tu/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:38 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:18:39 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:19:57 +0800] "GET /Book2/index.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:19:57 +0800] "GET /Book2/top.jsp HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:19:57 +0800] "GET /Book2/left.jsp HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:19:57 +0800] "GET /Book2/new.jsp HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:19:58 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:19:59 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3478
